date,SMP,LNG (kWh),branch,heat_demand,year,month,day,hour,ymd,imputated_temperature,season,heat_produce,electric_produce,heat_produce_MWh,total_energy,month,E_total,F_Month,F_hat,F_hat_MWh,eta_e,eta_h,eta_total,F_corrected,F_hat_corrected,F_hat_corr_MWh,eta_e_corr,eta_h_corr,eta_total_corr
2021-10-01 11:00:00,114.02,108.146,강남,125.0,2021,10.0,01,11,2021-10-01,24.4,가을,47.0,12.0,54.661,66.661,2021-10,63884.9342,1014725.0,1058.8190169099366,11.435245382627317,1.0493871883353436,4.780046091799852,5.829433280135195,6944014.586956522,7245.760869565218,83.32625,0.1440122410404884,0.6559877589595116,0.8
2021-10-01 12:00:00,113.66,108.146,강남,123.0,2021,10.0,01,12,2021-10-01,26.0,가을,48.0,13.0,55.824,68.824,2021-10,63884.9342,1014725.0,1093.175320199359,11.806293458153078,1.1011076461954774,4.7283256339397175,5.829433280135196,6944014.586956522,7480.869565217391,86.03,0.1511100778798093,0.6488899221201906,0.7999999999999999
2021-10-01 13:00:00,113.66,108.146,강남,122.0,2021,10.0,01,13,2021-10-01,27.0,가을,48.0,13.0,55.824,68.824,2021-10,63884.9342,1014725.0,1093.175320199359,11.806293458153078,1.1011076461954774,4.7283256339397175,5.829433280135196,6944014.586956522,7480.869565217391,86.03,0.1511100778798093,0.6488899221201906,0.7999999999999999
2021-10-01 14:00:00,113.64,108.146,강남,116.0,2021,10.0,01,14,2021-10-01,28.1,가을,48.0,13.0,55.824,68.824,2021-10,63884.9342,1014725.0,1093.175320199359,11.806293458153078,1.1011076461954774,4.7283256339397175,5.829433280135196,6944014.586956522,7480.869565217391,86.03,0.1511100778798093,0.6488899221201906,0.7999999999999999
2021-10-01 15:00:00,115.41,108.146,강남,113.0,2021,10.0,01,15,2021-10-01,28.5,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-01 16:00:00,115.28,108.146,강남,113.0,2021,10.0,01,16,2021-10-01,27.9,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-01 17:00:00,115.51,108.146,강남,114.0,2021,10.0,01,17,2021-10-01,26.7,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-01 18:00:00,114.9,108.146,강남,114.0,2021,10.0,01,18,2021-10-01,24.9,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-01 19:00:00,114.52,108.146,강남,113.0,2021,10.0,01,19,2021-10-01,23.9,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-01 20:00:00,113.0,108.146,강남,111.0,2021,10.0,01,20,2021-10-01,22.7,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-01 21:00:00,113.0,108.146,강남,113.0,2021,10.0,01,21,2021-10-01,22.7,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-01 22:00:00,110.89,108.146,강남,109.0,2021,10.0,01,22,2021-10-01,22.7,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-01 23:00:00,107.82,108.146,강남,100.0,2021,10.0,01,23,2021-10-01,17.5,가을,54.0,14.0,62.802,76.80199999999999,2021-10,63884.9342,1014725.0,1219.8949631226196,13.174865601724292,1.0626294357164232,4.766803844418773,5.829433280135195,6944014.586956522,8348.04347826087,96.0025,0.1458295356891747,0.6541704643108253,0.7999999999999999
2021-10-02 00:00:00,107.82,108.146,강남,80.0,2021,10.0,02,00,2021-10-02,17.0,가을,55.0,14.0,63.965,77.965,2021-10,63884.9342,1014725.0,1238.3676310493877,13.374370415333384,1.0467782456473127,4.782655034487883,5.829433280135195,6944014.586956522,8474.456521739132,97.45625,0.1436542038094016,0.6563457961905983,0.7999999999999999
2021-10-02 01:00:00,106.97,108.146,강남,65.0,2021,10.0,02,01,2021-10-02,16.6,가을,55.0,15.0,63.965,78.965,2021-10,63884.9342,1014725.0,1254.2512664120422,13.545913677250056,1.1073450161720753,4.72208826396312,5.829433280135195,6944014.586956522,8583.152173913044,98.70625,0.1519660609130627,0.6480339390869373,0.8
2021-10-02 02:00:00,106.38,108.146,강남,67.0,2021,10.0,02,02,2021-10-02,16.7,가을,56.0,15.0,65.128,80.128,2021-10,63884.9342,1014725.0,1272.7239343388098,13.745418490859146,1.09127270369943,4.7381605764357655,5.829433280135196,6944014.586956522,8709.565217391306,100.16,0.1497603833865814,0.6502396166134184,0.7999999999999999
2021-10-02 03:00:00,106.0,108.146,강남,66.0,2021,10.0,02,03,2021-10-02,16.7,가을,55.0,14.0,63.965,77.965,2021-10,63884.9342,1014725.0,1238.3676310493877,13.374370415333384,1.0467782456473127,4.782655034487883,5.829433280135195,6944014.586956522,8474.456521739132,97.45625,0.1436542038094016,0.6563457961905983,0.7999999999999999
2021-10-02 04:00:00,105.07,108.146,강남,66.0,2021,10.0,02,04,2021-10-02,16.8,가을,51.0,14.0,59.313,73.313,2021-10,63884.9342,1014725.0,1164.4769593423168,12.576351160897024,1.113200468155617,4.716232811979578,5.829433280135195,6944014.586956522,7968.804347826087,91.64125,0.1527696315796652,0.6472303684203348,0.8
2021-10-02 05:00:00,105.07,108.146,강남,66.0,2021,10.0,02,05,2021-10-02,16.4,가을,49.0,14.0,56.987,70.987,2021-10,63884.9342,1014725.0,1127.5316234887816,12.177341533678842,1.1496762213066158,4.67975705882858,5.829433280135195,6944014.586956522,7715.978260869565,88.73375,0.157775367320777,0.642224632679223,0.7999999999999999
2021-10-02 06:00:00,105.45,108.146,강남,70.0,2021,10.0,02,06,2021-10-02,16.9,가을,58.0,14.0,67.45400000000001,81.45400000000001,2021-10,63884.9342,1014725.0,1293.7856348296905,13.972884856160658,1.001940554446592,4.827492725688602,5.829433280135195,6944014.586956522,8853.695652173914,101.8175,0.1375009207650944,0.6624990792349056,0.8
