,heat_produce,electric_produce,heat_produce_MWh,total_energy,month,E_total,F_Month,F_hat,F_hat_MWh,eta_e,eta_h,eta_total,F_corrected,F_hat_corrected,F_hat_corr_MWh,eta_e_corr,eta_h_corr,eta_total_corr
0,53.0,14.0,61.639,75.63900000000001,2021-10,63884.9342,1014725.0,1201.4222951958523,12.975360788115205,1.0789680709937033,4.750465209141491,5.829433280135195,6944014.586956522,8221.63043478261,94.54875000000001,0.14807176192175991,0.65192823807824,0.8
1,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506113,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2,54.0,14.0,62.802,76.80199999999999,2021-10,63884.9342,1014725.0,1219.8949631226196,13.174865601724292,1.0626294357164232,4.766803844418773,5.829433280135195,6944014.586956522,8348.04347826087,96.0025,0.14582953568917476,0.6541704643108253,0.7999999999999999
3,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506113,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
4,53.0,14.0,61.639,75.63900000000001,2021-10,63884.9342,1014725.0,1201.4222951958523,12.975360788115205,1.0789680709937033,4.750465209141491,5.829433280135195,6944014.586956522,8221.63043478261,94.54875000000001,0.14807176192175991,0.65192823807824,0.8
5,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506113,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
6,53.0,13.0,61.639,74.63900000000001,2021-10,63884.9342,1014725.0,1185.5386598331975,12.803817526198534,1.015322186012105,4.8141110941230885,5.829433280135194,6944014.586956522,8112.934782608697,93.29875000000001,0.13933734374790657,0.6606626562520933,0.8
7,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125000000001,0.14381923029054247,0.6561807697094574,0.7999999999999999
8,48.0,12.0,55.824,67.824,2021-10,63884.9342,1014725.0,1077.2916848367042,11.634750196236407,1.0313930078087747,4.7980402723264195,5.829433280135195,6944014.586956522,7372.173913043479,84.78,0.14154281670205238,0.6584571832979476,0.7999999999999999
9,45.0,12.0,52.335,64.33500000000001,2021-10,63884.9342,1014725.0,1021.8736810564017,11.03623575540914,1.0873272613915026,4.742106018743691,5.829433280135194,6944014.586956522,6992.934782608697,80.41875000000002,0.14921893215201676,0.6507810678479831,0.7999999999999999
10,46.0,12.0,53.498000000000005,65.498,2021-10,63884.9342,1014725.0,1040.3463489831693,11.235740569018228,1.0680203878228698,4.7614128923123245,5.829433280135194,6944014.586956522,7119.347826086957,81.8725,0.14656936089651593,0.6534306391034841,0.8
11,47.0,12.0,54.661,66.661,2021-10,63884.9342,1014725.0,1058.8190169099366,11.435245382627317,1.0493871883353436,4.780046091799852,5.829433280135195,6944014.586956522,7245.760869565218,83.32625,0.14401224104048843,0.6559877589595116,0.8
12,48.0,13.0,55.824,68.824,2021-10,63884.9342,1014725.0,1093.175320199359,11.806293458153078,1.1011076461954774,4.7283256339397175,5.829433280135196,6944014.586956522,7480.869565217391,86.03,0.15111007787980937,0.6488899221201906,0.7999999999999999
13,48.0,13.0,55.824,68.824,2021-10,63884.9342,1014725.0,1093.175320199359,11.806293458153078,1.1011076461954774,4.7283256339397175,5.829433280135196,6944014.586956522,7480.869565217391,86.03,0.15111007787980937,0.6488899221201906,0.7999999999999999
14,48.0,13.0,55.824,68.824,2021-10,63884.9342,1014725.0,1093.175320199359,11.806293458153078,1.1011076461954774,4.7283256339397175,5.829433280135196,6944014.586956522,7480.869565217391,86.03,0.15111007787980937,0.6488899221201906,0.7999999999999999
15,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.205303085371261,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.14617006324666196,0.6538299367533379,0.7999999999999999
16,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.205303085371261,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.14617006324666196,0.6538299367533379,0.7999999999999999
17,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125000000001,0.14381923029054247,0.6561807697094574,0.7999999999999999
18,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.205303085371261,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.14617006324666196,0.6538299367533379,0.7999999999999999
19,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.205303085371261,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.14617006324666196,0.6538299367533379,0.7999999999999999
20,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.205303085371261,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.14617006324666196,0.6538299367533379,0.7999999999999999
